,artist,album,track_name,track_id,danceability,energy,valence,tempo,duration_ms
0,Taylor Swift,Midnights,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,0.0976,96.985,202396
1,Taylor Swift,Lavender Haze (Felix Jaehn Remix),Lavender Haze - Felix Jaehn Remix,2M4tVhRXucLE9M3STv21Yi,0.781,0.717,0.629,119.972,171562
2,Taylor Swift,Midnights,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,0.533,97.008,200690
3,Taylor Swift,Anti-Hero (ILLENIUM Remix),Anti-Hero - ILLENIUM Remix,6C0H8ts9M6deezz0yYR6LK,0.6,0.722,0.388,96.957,267960
4,Taylor Swift,Anti-Hero (Acoustic Version),Anti-Hero - Acoustic Version,2d3d9xZutJjmUpntiyHt3F,0.624,0.332,0.397,96.864,196473
5,Taylor Swift,Anti-Hero (Remixes),Anti-Hero (feat. Bleachers),16M9Rxid0nXhVmme7lzVwN,0.631,0.819,0.499,96.94,228397
6,Taylor Swift,Anti-Hero (Remixes),Anti-Hero - Roosevelt Remix,4XiypEn8iKbeP1TbTqdfk5,0.716,0.737,0.804,110.99,299203
7,Taylor Swift,Anti-Hero (Remixes),Anti-Hero - Kungs Remix,2oWpe2L8ypC080BxpDVuTY,0.721,0.919,0.675,115.997,194612
8,Taylor Swift,Anti-Hero (Remixes),Anti-Hero - Jayda G Remix,4YrpqEBNuz7IMsZtUP6bNQ,0.791,0.769,0.812,120.013,215697
9,Taylor Swift,Anti-Hero (feat. Bleachers),Anti-Hero (feat. Bleachers),0j0gJqxitjhmmkrW56dtQH,0.633,0.809,0.471,96.947,228397
10,Taylor Swift,Midnights,Maroon,3eX0NZfLtGzoLUxPNvRfqm,0.637,0.398,0.0374,108.075,218271
11,Taylor Swift,Midnights,Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,0.663,0.319,0.193,109.957,256124
12,Taylor Swift,Midnights,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,0.696,0.396,0.38,120.041,194207
13,Taylor Swift,Midnights,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,0.643,0.363,0.23,139.865,174783
14,Taylor Swift,Midnights,Question...?,0heeNYlwOGuUSe7TgUD27B,0.751,0.502,0.106,108.943,210557
15,Taylor Swift,Midnights,Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,0.798,0.277,0.163,79.846,164801
16,Taylor Swift,Midnights,Bejeweled,3qoftcUZaUOncvIYjFSPdE,0.696,0.559,0.433,163.999,194166
17,Taylor Swift,Midnights,Labyrinth,0A1JLUlkZkp2EFrosoNQi0,0.406,0.306,0.122,110.014,247962
18,Taylor Swift,Midnights,Karma,7KokYm8cMIXCsGVmUvKtqf,0.642,0.62,0.0969,90.02,204852
19,Taylor Swift,Midnights,Sweet Nothing,0wavGRldH0AWyu2zvTz8zb,0.337,0.156,0.39,176.655,188497
20,Taylor Swift,Midnights,Mastermind,7FmYn9e7KHMXcxqGSj9LjH,0.662,0.357,0.124,125.966,191039
21,Taylor Swift,Midnights (3am Edition),The Great War,3UMrglJeju5yWyYIW6o99b,0.573,0.741,0.554,96.016,240356
22,Taylor Swift,Midnights (3am Edition),Bigger Than The Whole Sky,0BiqmkasE5FdrChwKfVp8X,0.422,0.235,0.068,165.71,218503
23,Taylor Swift,Midnights (3am Edition),Paris,7712gjoih4QoDbXpljEk21,0.7,0.509,0.345,110.947,196259
24,Taylor Swift,Midnights (3am Edition),High Infidelity,5kiZGSxgqPdv6rbqL9THdd,0.646,0.529,0.755,87.862,231475
25,Taylor Swift,Midnights (3am Edition),Glitch,6wAFvJPpTZVirBKGZ4EnMW,0.675,0.466,0.347,140.864,148781
26,Taylor Swift,Midnights (3am Edition),"Would've, Could've, Should've",0aV5uARAknQgYhBaK944FP,0.483,0.84,0.55,157.979,260362
27,Taylor Swift,Midnights (3am Edition),Dear Reader,3QF5RsWzK1lCvf2o2cY65P,0.562,0.388,0.159,107.747,225194
28,Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”),Carolina - From The Motion Picture “Where The Crawdads Sing”,4axSuOg3BqsowKjRpj59RU,0.476,0.189,0.324,115.851,264439
29,Taylor Swift,This Love (Taylor’s Version),This Love (Taylor’s Version),4d1CG5ei1E2vGbvmgf5KKv,0.47,0.494,0.0524,144.039,250100
30,Taylor Swift,folklore,august,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,0.403,89.937,261923
31,Taylor Swift,This Love (Taylor’s Version),Wildest Dreams (Taylor's Version),1IxeJLsubGTboNN9K5XNfL,0.587,0.663,0.544,139.99,220433
32,Taylor Swift,All Too Well (10 Minute Version) (The Short Film),All Too Well (10 Minute Version) (The Short Film),1u4HUiREUR6vX1W1RYG2Tm,0.625,0.515,0.193,93.021,686022
33,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0.307,133.83,185422
